Copyright 2013-2015 Stanford University														
														
Licensed under the Apache License, Version 2.0 (the "License");														
you may not use this file except in compliance with the License.														
You may obtain a copy of the License at														
														
    http://www.apache.org/licenses/LICENSE-2.0														
														
Unless required by applicable law or agreed to in writing, software														
distributed under the License is distributed on an "AS IS" BASIS,														
WITHOUT WARRANTIES OR CONDITIONS OF ANY KIND, either express or implied.														
See the License for the specific language governing permissions and														
limitations under the License.														
														
Opcode	Instruction	Op/En	Properties	Implicit Read	Implicit Write	Implicit Undef	Useful	Protected	64-bit Mode	Compat/32-bit-Legacy Mode	CPUID Feature Flags	AT&T Mnemonic	Preferred 	Description
														
37	AAA								I	V				ASCII adjust AL after addition.
														
D5 0A	AAD								I	V				ASCII adjust AX before division.
D5 ib	AAD imm8								I	V				Adjust AX before division to number base imm8.
														
D4 0A	AAM								I	V				ASCII adjust AX after multiply.
D4 ib	AAM imm8								I	V				Adjust AX after multiply to number base imm8.
														
3F	AAS								I	V				ASCII adjust AL after subtraction.
														
14 ib	ADC AL, imm8	I	RW, R	E.CF	E.OF E.SF E.ZF E.AF E.CF E.PF				V	V		adcb		Add with carry imm8 to AL
15 iw	ADC AX, imm16	I	RW, R	E.CF	E.OF E.SF E.ZF E.AF E.CF E.PF				V	V		adcw		Add with carry imm16 to AX.
15 id	ADC EAX, imm32	I	RW, R	E.CF	E.OF E.SF E.ZF E.AF E.CF E.PF				V	V		adcl		Add with carry imm32 to EAX.
REX.W+ 15 id	ADC RAX, imm32	I	RW, R	E.CF	E.OF E.SF E.ZF E.AF E.CF E.PF				V	NE		adcq		Add with carry imm32 sign extended to 64- bits to RAX.
80 /2 ib	ADC r/m8, imm8	MI	RW, R	E.CF	E.OF E.SF E.ZF E.AF E.CF E.PF				V	V		adcb		Add with carry imm8 to r/m8.
REX+ 80 /2 ib	ADC r/m8, imm8	MI	RW, R	E.CF	E.OF E.SF E.ZF E.AF E.CF E.PF				V	NE		adcb		Add with carry imm8 to r/m8.
81 /2 iw	ADC r/m16, imm16	MI	RW, R	E.CF	E.OF E.SF E.ZF E.AF E.CF E.PF				V	V		adcw		Add with carry imm16 to r/m16.
81 /2 id	ADC r/m32, imm32	MI	RW, R	E.CF	E.OF E.SF E.ZF E.AF E.CF E.PF				V	V		adcl		Add with CF imm32 to r/m32.
REX.W+ 81 /2 id	ADC r/m64, imm32	MI	RW, R	E.CF	E.OF E.SF E.ZF E.AF E.CF E.PF				V	NE		adcq		Add with CF imm32 sign extended to 64-bits to r/m64.
83 /2 ib	ADC r/m16, imm8	MI	RW, R	E.CF	E.OF E.SF E.ZF E.AF E.CF E.PF				V	V		adcw	YES	Add with CF sign-extended imm8 to r/m16.
